game_id,white_id,white_elo,black_id,black_elo,opening,moves,winner
008vmuTg,rhoze,1924,matei_popescu1510,1937,A36,c4 g6 Nc3 Bg7 e4 c5 g3 Nc6 Bg2 e6 Nge2 Nge7 h3 O-O d3 h6 Be3 b6 Qd2 Kh7 h4 Bb7 h5 g5 f4 f6 O-O-O d6 Bh3 Bc8 g4 a6 Ng1 Qc7 Nf3 e5 fxg5 fxg5 Nxg5+ hxg5 Bxg5 Be6 Be3 Nd4 g5 Bxh3 Rxh3 Nf3 Qe2 Nd4 Qg4 Qc8 Qg2 Qe6 g6+ Kg8 h6 Qxg6 Rg3,white
00CgMmiH,gvrag,1773,matei_popescu1510,1853,D01,d4 d5 Nc3 Nf6 Bf4 c6 e3 Bf5 Nf3 h6 Bd3 Bxd3 Qxd3 e6 O-O Nbd7 Ne5 Be7 Ne2 O-O c4 Ne4 Rac1 f5 Nxd7 Qxd7 cxd5 exd5 Qb3 Bf6 Qc2 g5 Be5 Bxe5 dxe5 Qe7 f3 Qxe5 fxe4 fxe4 Nc3 h5 Rxf8+ Rxf8 Rf1 Rxf1+ Kxf1 Qxh2 Ne2 Qh1+ Ng1 Qh2 Qf2 h4 Qf5 Qg3 Qc8+ Kh7 Qxb7+ Kh6 Qxc6+ Kh5 Qe8+ Kg4 Qd7+ Kh5 Qxd5 Qxe3 Qb3 Qc1+ Ke2 Qxg1 Qf7+ Kh6 Qf6+ Kh5 Qf7+ Kh6 Qf6+ Kh5 Qf7+,draw
00CRoS7n,alishocha64,1917,matei_popescu1510,1897,B17,e4 c6 d4 d5 Nc3 dxe4 Nxe4 Nd7 Nf3 Ngf6 Bd3 Nxe4 Bxe4 Nf6 Bd3 Bg4 Be3 e6 O-O Be7 h3 Bxf3 Qxf3 O-O c3 Qc7 Bf4 Bd6 Bg5 Be7 Kh1 h6 Bf4 Bd6 Be3 Nd5 Bd2 Rae8 Qe4 Nf6 Qh4 e5 Bxh6 gxh6 Qxf6 Re6 Qf5 Rg6 h4 exd4 h5 Rg7 cxd4 Re8 Qf6 Re6 Qf3 Qe7 d5 Rf6 Qe4 Qc7 dxc6 bxc6 Rac1 Rf4 Qxc6 Rh4+ Kg1 Bh2+ Kh1 Bg1+ Kxg1 Qh2#,black
00jePBiL,genavero,1869,matei_popescu1510,1898,B10,e4 c6 Nf3 d5 exd5 cxd5 Be2 Nc6 O-O Bg4 d3 Nf6 h3 Bh5 Nc3 e6 Bg5 Be7 d4 O-O Ne5 Bxe2 Nxe2 Ne4 Bxe7 Qxe7 c3 Qc7 Nd3 f5 Nc5 Qe7 f3 Nxc5 dxc5 Qxc5+ Kh1 Rf6 Nf4 Raf8 Re1 Qd6 Nh5 Rh6 f4 Qe7 Qf3 Qh4 Ng3 Rff6 Re3 Rfg6 Rae1 d4 Rd3 Ne7 Re5 Nd5 Rxd5 exd5 Nxf5 Qe1+ Kh2 dxc3 Rxc3 Rc6 Qxd5+ Qe6 Qd8+ Kf7 Nxh6+ Qxh6 Qd7+ Kf8 Rxc6 Qxf4+ Kg1 bxc6 Qxc6 Qe3+ Kh1 Qe1+ Kh2 Qe5+ Kg1 Qe1+ Kh2 Qe5+ g3 Qxb2+ Qg2 Qxg2+ Kxg2 Ke7 Kf3 Kd6 Ke4 a5 h4 h6 a4 Ke6 g4 g6 Kf4 Kf6 Ke4 Ke6 Kd4 h5 gxh5 gxh5 Kc5 Kf5 Kb5 Kg4 Kxa5 Kxh4 Kb5 Kg5 a5 h4 a6 h3 a7 h2,white
02ADz3i3,gebrov,1501,matei_popescu1510,1554,D30,d4 d5 c4 e6 e3 c6 Nf3 Bd6 Bd3 Nd7 O-O f5 Nfd2 Ngf6 f3 O-O e4 fxe4 fxe4 e5 cxd5 cxd5 dxe5 Nxe5 Bc2 Bc5+ Kh1 dxe4 Nxe4 Qxd1 Rxd1 Nxe4 Bxe4 Rb8 Nc3 Bg4 Re1 Nc4 Nd5 Kh8 h3 Bh5 g4 Bf7,black
02hl5eUg,ornat,1727,matei_popescu1510,1718,B27,e4 c5 Nf3 g6 d4 cxd4 Nxd4 Bg7 Nc3 Nc6 Nxc6 bxc6 Bf4 d6 Bc4 Nf6 O-O O-O Qd2 Bb7 Bh6 d5 exd5 cxd5 Bb3 e5 Bxg7 Kxg7 Qg5 d4 Ne2 h6 Qxe5 Re8 Qb5 Rb8 Rfe1 Bxg2 Qc4 Bd5 Qxd4 Bxb3 Qxd8 Rbxd8 axb3 Rd2 Ng3 Rxe1+ Rxe1 Rxc2 Re7 Rxb2 Rxa7 Rxb3 Kg2 Rb2 h4 Ng4 Ne4 h5 Kg3 Rb3+ f3 Ne5 Ng5 Kf6 Kf4 Nd3+ Ke4 Nc5+ Kf4 Ne6+ Nxe6 Kxe6 Ra6+ Ke7 Ra7+ Kf8 Ra4 Kg7 Ke4 Rb1 f4 Rg1 Ke5 f6+ Ke6 Re1+ Kd5 Re7 Ra6 Kf7 Ra8 Kg7 Ra6 Rf7 Ke6 Rf8 Ra7+ Kh6 f5 g5 hxg5+ fxg5 Rf7 Ra8 Rf6+ Kg7 Rg6+ Kh7 Rxg5 Ra6+ Kf7 Ra7+ Kf8 Ra8+ Ke7 Ra7+ Ke6 Ra6+ Ke5 Ra5+ Kf4 Ra4+ Kg3 Rg4+ Rxg4 hxg4 Kxg4 Kg7 Kf4 Kf6 Ke4 Kf7 Ke5 Ke7 f6+ Kf7 Kf5 Kf8 Kg6 Kg8 Kg5 Kf7 Kf5 Kf8 Ke6 Ke8 f7+ Kf8 Kf6,draw
034BFp8l,matei_popescu1510,1885,ghulam123,1814,D00,d4 d5 e3 Nf6 Bd3 Nc6 f4 Nb4 Be2 Ne4 c3 e5 Nf3 exd4 cxb4 Bxb4+ Bd2 Bxd2+ Nbxd2 dxe3 Nxe4 dxe4 Qxd8+ Kxd8 O-O-O+ Ke7 Ne5 Be6 b3 f5 Rhe1,white
037otbhP,matei_popescu1510,1660,analtoylkrapov,1696,D00,d4 d5 e3 Nf6 Bd3 c6 Nd2 Bg4 f3 Bh5 Ne2 c5 c3 e6 Nf4 Bg6 Nxg6 hxg6 O-O Bd6 f4 Nbd7 Nf3 Qe7 Ne5 c4 Bc2 Rh5 Qf3 O-O-O Bd2 Rdh8 h3 Bxe5 fxe5 Ne4 Bxe4 dxe4 Qxe4 Qg5 Qf4 Qf5 Qxf5 gxf5 Rae1 g6 e4 Nf8 exf5 gxf5 b3 Rg8 Rf3 cxb3 axb3 Nh7 c4 Ng5 Bxg5 Rhxg5 Re2 Rh8 Kf1 Rgg8 d5,white
04DEo5sP,matei_popescu1510,1821,astro33,1752,A45,d4 Nf6 e3 g6 c4 d5 cxd5 Nxd5 e4 Nb6 Nf3 Bg7 Bb5+ Bd7 Bxd7+ N8xd7 O-O O-O Nc3 c5 d5 Ne5 Nxe5 Bxe5 f4 Bd4+ Kh1 Re8 Qg4 e6 f5 exf5 exf5 Nxd5 fxg6 hxg6 Bg5 Bf6 Nxd5 Bxg5 Rad1 Qc8 Qxg5 Rd8 Ne7+,white
07D5AOB2,matei_popescu1510,1671,yarlus,1687,D78,d4 d5 Nf3 Nf6 g3 g6 Bg2 c6 O-O Bg7 c4 O-O Nc3 Bf5 Bd2 dxc4 Qc1 b5 Ne5 Qxd4 Nxc6 Nxc6 Bxc6 Rfd8 Be3 Qd6 Bxb5 Qb4 a3 Qb3 Ba4 Qb7 Bh6 Rab8 Bb5 Bh3 f3 Nd5 Bxg7 Kxg7 Bxc4 Rbc8 Bxd5 Rxd5 Rd1 Rh5 Qf4 Qb6+ Qd4+ Qxd4+ Rxd4 Re5 e4 Rec5 Rad1 e5 Rd5 Be6 Rxc5 Rxc5 Rd8 Rc7 Kf2 Rb7 Rd2 h5 h4 f5 exf5 gxf5 Ke3 Kf6 Nd5+ Bxd5 Rxd5 Rxb2 Rd7 Rb3+ Rd3 Rxd3+ Kxd3 f4 gxf4 exf4 Ke4 Kg6 Kxf4 Kf6 Ke4 Ke6 a4 a6 a5 Kf6 Kf4 Ke6 Kg5 Ke5 f4+ Ke6,white
08dNRIPq,col777,1830,matei_popescu1510,1844,B07,e4 d6 d4 Nf6 Nc3 c6 e5 dxe5 dxe5 Qxd1+ Nxd1 Nd5 Ne3 Be6 Nxd5 Bxd5 c4 Be4 f3 Bf5 Be3 h5 O-O-O e6 Bd3 Bxd3 Rxd3 Nd7 f4 Nb6 b3 Ba3+ Kc2 Ke7 Nf3 Rad8 Rhd1 Rxd3 Rxd3 Rd8 Rxd8 Kxd8 Bxb6+ axb6 Ng5 Ke7 Ne4 f6 exf6+ gxf6 Kd3 Bc1 g3 h4 c5 bxc5 Nxc5 b6 Ne4 hxg3 hxg3 e5 fxe5 fxe5 a4 Ke6 b4 Ba3 Kc4 Kf5 Nd2 Kg4 Nf1 Bc1 Kd3 Kf3 Kc2 Ba3 b5 cxb5 axb5 Kf2 Nd2 Kxg3 Nc4 Bc5 Nxe5 Kf4 Nd3+ Ke3 Nxc5 Kd4 Nb3+ Kc4 Nd2+ Kxb5 Kb2 Kb4 Kc2 b5 Kd3 Ka3 Kc2 b4 Kd3 Kb2 Ke2 Kc2 Ke1 Kc1 Ke2 Kc2 Ke1 b3 Nxb3,draw
